Item Name,Item Id,Item Description,CanBeBlock,OnBlockHarvest,Groups,Refined Form,Stackable,PickupTime,PickupTool,PickupSkill,Base Value,Action,Property,Beauty,Building Bounds
,,,,,,,,,,,,,,,
Soil (Clay),0,,Y,"Soil / Clay, 1, 1, 0.3",Soil; OrganicMaterial; Ground,,,,,,1.3,,,,
Soil (Sand),1,,Y,"Soil / Sand, 1, 1, 0.3",Soil; OrganicMaterial; Ground,,,,,,1,,,,
Soil (Silt),2,,Y,"Soil / Silt, 1, 1, 0.3",Soil; OrganicMaterial; Ground,,,,,,1,,,,
,,,,,,,,,,,,,,,
Clay,100,,Y,Clay,Ground; BuildingMaterial,,,,,,2,,,,
Sand,101,,Y,Sand,Ground,,,,,,1,,,,
Soil,102,,Y,Soil,Soil; OrganicMaterial; Ground,,,,,,1,,,,
Silt,103,,Y,Silt,Ground,,,,,,1,,,,
Mud,110,,Y,"Soil, 1, 1, 0.8",Ground,,,,,,1,,,,
,,,,,,,,,,,,,,,
Ice,150,,Y,,,,,60,,,1,,,,
,,,,,,,,,,,,,,,
Basalt,200,,Y,Basalt,Stone; Ground,,,80,,stone,2,,,,
Quartz,201,,Y,Quartz,Stone; Ground,,,80,,stone,2,,,,
Granite,202,,Y,Granite,Stone; Ground,,,80,,stone,3,,,2.5,
Diorite,203,,Y,Diorite,Stone; Ground,,,80,,stone,3,,,2.5,
Olivine,204,,Y,Olivine,Stone; Ground,,,80,,stone,3,,,2.5,
,,,,,,,,,,,,,,,
Shale,299,,Y,Shale,Stone; Ground,,,80,,stone,2,,,,
Sandstone,300,,Y,Sandstone,Stone; Ground,,,80,,stone,2,,,,
Mudstone,301,,Y,Mudstone,Stone; Ground,,,80,,stone,2,,,,
Limestone,302,,Y,Limestone,Stone; Ground,,,80,,stone,4,,,1.2,
,,,,,,,,,,,,,,,
Gneiss,400,,Y,Gneiss,Stone; Ground,,,120,,stone,3,,,1.2,
Slate,401,,Y,Slate,Stone; Ground,,,120,,stone,4,,,,
Marble,402,,Y,Marble,Stone; Ground,,,120,,stone,5,,,2.5,
,,,,,,,,,,,,,,,
Copper Sludge,500,,Y,"Copper Ore, 1, 5",Ore; Ground,,,60,,mine,5,,,0.5,
Iron Sludge,501,Ferrous and impure mixtures of stone and metal.,Y,"Iron Ore, 1, 5 / Soil (Clay), 1, 1, 0.4; Clay, 1, 1, 0.2; Soil, 1, 1, 0.1",Ore; Ground,,,80,,mine,10,,,0.5,
Hematite,502,Iron ore found in large sedimentary formations.,Y,"Hematite, 1",Ore; Ground,,,80,,mine,15,,,1.2,
Native Gold Ore,503,,Y,"Gold Ore, 1, 3",Ore; Ground,,,60,,mine,25,,,1.2,
,,,,,,,,,,,,,,,
Vaelium Ore,550,,Y,"Vaelium Metal, 1, 3",Ore; Ground,,,120,,mine,20,,,,
Fluvium Ore,551,,Y,"Fluvium Metal, 1, 3",Ore; Ground,,,120,,mine,20,,,,
Dirfractium Ore,552,,Y,"Dirfractium Metal, 1, 3",Ore; Ground,,,120,,mine,20,,,,
Electrum Ore,553,,Y,"Electrum Metal, 1, 3",Ore; Ground,,,120,,mine,20,,,,
,,,,,,,,,,,,,,,
Hellenite Ore,560,,Y,"Hellenite Metal, 1, 3",Ore; Ground,,,120,,mine,20,,,,
Glidestone Ore,561,,Y,"Glidestone, 1, 3",Ore; Ground,,,120,,mine,20,,,,
Leadenstone Ore,562,,Y,"Leadenstone, 1, 3",Ore; Ground,,,120,,mine,20,,,,
Crystalite Ore,563,,Y,"Crystalite, 1, 3",Ore; Ground,,,120,,mine,20,,,,
,,,,,,,,,,,,,,,
Earthen Block,3349,,N,,StoneBlock,,15,,,,0.25,,,0.7,
<Stone> Block,3350,,N,,StoneBlock,,15,,,,0.5,,,,
Concrete,3360,,Y,Concrete,StoneBlock; BuildingMaterial,,15,120,,stone,0.5,,,0.85,
,,,,,,,,,,,,,,,
Copper Ore,600,,N,"Copper Ore, 1",RawOre,Copper Bar,15,,,,2,,,,
Iron Ore,601,,N,"Iron Ore, 1",RawOre,Iron Bar,15,,,,4,,,,
Gold Ore,602,,N,"Gold Ore, 1",RawOre,Gold Bar,15,,,,10,,,,
Coal,603,,N,"Coal, 1",RawOre,,15,,,,3,,"Fuel, 0, 2.5",,
,,,,,,,,,,,,,,,
Vaelium Metal,700,,N,,,,15,,,,8,,,,
Fluvium Metal,701,,N,,,,15,,,,8,,,,
Dirfractium Metal,702,,N,,,,15,,,,8,,,,
Electrum Metal,703,,N,,,,15,,,,8,,,,
,,,,,,,,,,,,,,,
Hellenite Metal,750,,N,,,,15,,,,8,,,,
Glidestone,751,,N,,,,15,,,,8,,,,
Leadenstone,752,,N,,,,15,,,,8,,,,
Crystalite,753,,N,,,,15,,,,8,,,,
,,,,,,,,,,,,,,,
Air,1499,,N,,,,,,,,0,,Walkthrough,,
Water,1500,,Y,,,,,,,,0,,Walkthrough,,
,,,,,,,,,,,,,,,
Wild Fruit Bush,1800,,Y,"Wooden Stick, 1, 3 / Wild Fruit, 1, 5",EdiblePlant,,,,,gath,3,,Walkthrough,,
Wild Berry Bush,1801,,Y,"Wooden Stick, 1, 3 / Wild Berries, 1, 5",EdiblePlant,,,,,gath,3,,Walkthrough,,
Apple Branch,1802,,Y,,Plant,,,,,farm,3,,Walkthrough,,
Fig Branch,1803,,Y,,Plant,,,,,farm,3,,Walkthrough,,
Pear Branch,1804,,Y,,Plant,,,,,farm,3,,Walkthrough,,
Grapevine,1805,,Y,,Plant,,,,,farm,3,,Walkthrough,,
Lentil Plant,1806,,Y,,EdiblePlant,,,,,farm,3,,Walkthrough,,
Barley Stalks,1807,,Y,"Straw, 2, 8 / Barley / Straw, 1, 3, 0.3",EdiblePlant,,,,,farm,4,,Walkthrough,,
Wheat Stalks,1808,,Y,"Straw, 2, 8 / Wheat / Straw, 1, 3, 0.3",EdiblePlant,,,,,farm,4,,Walkthrough,,
